"Ticker","Nome","Negócios","Última (R$)","Variação"
"TEND3","Construtora Tenda","1.458.300","12,63","+1,12%"
"EZTC3","EZTEC","1.457.000","14,27","-3,25%"
"RAPT4","Randon","1.449.500","11,51","-1,62%"
"LJQQ3","Lojas Quero-Quero","1.448.600","4,07","-3,55%"
"GMAT3","Grupo Mateus","1.439.200","7,12","-1,52%"
"VVEO3","Viveo","1.396.200","2,32","-6,45%"
"ESPA3","Espaçolaser","1.260.100","0,99","-3,88%"
"OIBR3","Oi","1.206.500","4,40","+0,00%"
"CLSA3","ClearSale","1.198.800","8,29","+1,47%"
"PLPL3","Plano&Plano","1.197.800","11,24","-4,50%"
"TTEN3","3tentos","1.168.700","10,68","-2,82%"
"GGPS3","GPS","1.157.100","17,08","-0,99%"
"NGRD3","Neogrid","1.131.300","1,09","+0,93%"
"PSSA3","Porto Seguro","1.098.600","30,20","-0,66%"
"BPAN4","Banco Pan","1.097.800","8,94","+1,36%"
"AESB3","AES Brasil","1.091.100","11,39","+0,00%"
"DIRR3","Direcional","1.088.800","28,43","-1,56%"
"KLBN4","Klabin","1.069.000","4,30","-1,83%"
"SRNA3","Serena Energia","1.064.400","8,85","-1,56%"
"SAPR4","Sanepar","1.021.000","5,33","-1,30%"
"ELET6","Eletrobras","969.500","41,63","-1,09%"
"EVEN3","Even","894.000","6,28","-0,95%"
"ARZZ3","Arezzo","888.600","52,61","-1,53%"
"IRBR3","IRB Brasil RE","869.400","29,67","-4,07%"
"MYPK3","Iochpe-Maxion","861.600","11,98","+0,25%"
"EGIE3","Engie","853.500","45,51","-0,85%"
"PGMN3","Pague Menos","809.100","2,64","-5,04%"
"LIGT3","Light","808.000","4,18","-3,91%"
"GUAR3","Guararapes","791.500","7,22","-1,23%"
"RANI3","Irani","788.200","8,78","-3,73%"
"NEOE3","Neoenergia","770.700","18,53","-0,22%"
"DASA3","Dasa","769.500","3,34","-2,91%"
"MDNE3","Moura Dubeux","768.400","13,32","-1,48%"
"POSI3","Positivo","766.000","7,36","-1,87%"
"CURY3","Cury","739.000","21,70","-0,82%"
"SBFG3","Grupo SBF","724.600","13,64","-0,07%"
"KEPL3","Kepler Weber","693.600","10,39","-1,70%"
"CASH3","Méliuz","690.400","5,89","+2,26%"
"INTB3","Intelbras","651.200","22,15","-0,23%"
"ABCB4","Banco ABC Brasil","636.000","23,31","+0,60%"
"JALL3","Jalles Machado","630.400","7,11","-2,87%"
"BRSR6","Banrisul","564.500","11,66","-0,34%"
"ODPV3","Odontoprev","560.500","11,73","-2,41%"
"MILS3","Mills","549.400","11,32","-1,31%"
"FIQE3","Unifique","530.700","3,39","-0,29%"
"FRAS3","Fras-le","528.200","19,90","-1,87%"
"PTBL3","Portobello","517.100","4,84","-3,39%"
"GRND3","Grendene","491.000","5,93","-2,63%"
"VULC3","Vulcabras","488.100","15,10","-3,45%"
"AZEV3","Azevedo & Travassos","475.200","1,62","+3,18%"
"MTRE3","Mitre Realty","464.400","3,96","-2,94%"
"VLID3","Valid","458.100","17,30","+0,93%"
"SOJA3","Boa Safra Sementes","433.000","15,35","-1,67%"
"BMGB4","Banco BMG","432.600","3,55","-2,74%"
"TUPY3","Tupy","432.400","25,65","-1,23%"
"MEAL3","IMC Alimentação","422.200","1,56","+1,96%"
"LOGG3","LOG CP","406.100","21,72","-4,86%"
"CSED3","Cruzeiro do Sul Educacional","394.200","3,86","-4,46%"
"KRSA3","Kora Saúde","391.000","0,70","-1,41%"
"AMAR3","Lojas Marisa","372.800","1,44","+0,70%"
"USIM3","Usiminas","365.400","7,70","-3,87%"
"MDIA3","M. Dias Branco","356.900","28,51","-0,90%"
"ARML3","Armac","351.100","9,75","-2,11%"
"ENJU3","Enjoei","338.000","1,86","+0,54%"
"TRIS3","Trisul","336.700","5,11","-0,78%"
"FESA4","Ferbasa","332.000","8,39","-2,78%"
"OPCT3","OceanPact","329.000","6,30","-0,79%"
"SEER3","Ser Educacional","319.800","5,02","-3,09%"
"KLBN3","Klabin","312.800","4,32","-1,37%"
"SEQL3","Sequoia Logística","306.900","3,97","-2,93%"
"DESK3","Desktop","302.100","15,53","-1,83%"
"HBRE3","HBR Realty","300.800","5,69","-1,04%"
"LAVV3","Lavvi Incorporadora","300.200","9,12","-1,72%"
"RCSL3","Recrusul","299.400","2,82","-3,75%"
"BRIT3","Brisanet","295.200","4,25","-3,41%"
"MBLY3","Mobly","277.800","2,59","+1,57%"
"ZAMP3","Zamp","262.100","3,36","-2,89%"
"PORT3","Wilson Sons","258.700","16,01","-0,37%"
"HBOR3","Helbor","245.500","2,30","-2,54%"
"TAEE4","Taesa","242.600","11,35","-0,87%"
"ORVR3","Orizon","240.700","42,95","-1,08%"
"RCSL4","Recrusul","225.800","1,03","-4,63%"
"ITUB3","Itaú Unibanco","223.900","29,24","-0,34%"
"CAML3","Camil Alimentos","222.600","8,80","-2,76%"
"ETER3","Eternit","221.300","5,79","-1,86%"
"TASA4","Taurus","218.600","11,98","-3,23%"
"SHUL4","Schulz","209.600","6,49","+0,46%"
"WIZC3","Wiz Soluções","209.200","5,83","-2,51%"
"JSLG3","JSL","208.900","9,70","-1,72%"
"PFRM3","Profarma","201.500","5,63","+2,55%"
"LUPA3","Lupatech","200.200","1,80","-4,76%"
"PRNR3","Priner","190.800","10,69","-0,56%"
"LEVE3","Mahle Metal Leve","187.000","33,05","-1,02%"
"AGRO3","BrasilAgro","183.100","26,95","-1,39%"
"SYNE3","SYN","169.800","10,31","-0,39%"
"UNIP6","Unipar","168.300","51,50","-1,60%"
"TECN3","Technos","165.300","6,10","+1,33%"
"INEP3","Inepar","162.900","1,92","+1,05%"
"MELK3","Melnick","157.600","3,60","-2,44%"
"VITT3","Vittia","151.900","6,09","-3,49%"
"TAEE3","Taesa","135.800","11,29","-0,62%"
"AGXY3","AgroGalaxy","127.900","1,39","-0,71%"
"TGMA3","Tegma","120.500","24,80","-1,12%"
"BMOB3","Bemobi","119.400","14,45","-3,15%"
"TFCO4","Track & Field","116.700","11,15","-2,53%"
"BLAU3","Blau Farmacêutica","108.300","11,31","-3,58%"
"ROMI3","Indústrias ROMI","104.800","10,80","-1,91%"
"PNVL3","Dimed","103.700","9,95","-1,78%"
"SHOW3","Time For Fun","101.000","1,56","-0,64%"
"TCSA3","Tecnisa","99.400","2,25","-2,17%"
"INEP4","Inepar","96.300","1,92","+5,49%"
"CMIG3","CEMIG","94.600","12,95","-0,08%"
"AERI3","Aeris Energy","94.100","5,71","-1,38%"
"ALPK3","Estapar","94.100","3,51","-1,13%"
"PINE4","Banco Pine","92.400","4,15","-1,19%"
"BIOM3","Biomm","90.500","12,01","+1,61%"
"POMO3","Marcopolo","87.300","4,98","-2,92%"
"TRAD3","Traders Club","84.700","4,00","+0,50%"
"AALR3","Alliança","84.300","11,04","-6,68%"
"SAPR3","Sanepar","82.600","5,07","-0,98%"
"RNEW4","Renova Energia","75.500","0,88","+1,15%"
"IGTI3","Iguatemi","73.300","2,64","-3,30%"
"IGTI3","Jereissati Participações","73.300","2,64","-3,30%"
"BRAP3","Bradespar","71.100","17,95","-1,64%"
"ALLD3","Allied","67.200","7,84","-1,51%"
"SANB4","Banco Santander","64.700","14,84","-1,13%"
"ITSA3","Itaúsa","63.200","10,31","-0,87%"
"SANB3","Banco Santander","61.000","13,36","-1,33%"
"WEST3","Westwing","60.900","0,88","+1,15%"
"LAND3","Terra Santa","60.400","13,95","-3,86%"
"UCAS3","Unicasa","52.800","2,38","+3,48%"
"GOAU3","Metalúrgica Gerdau","50.800","10,82","-3,31%"
"ELMD3","Eletromidia","48.700","18,20","-2,10%"
"DMVF3","D1000 Varejo Farma","45.000","7,86","-1,13%"
"CSUD3","CSU Cardsystem","43.600","19,50","-0,26%"
"LPSB3","Lopes","43.500","1,86","-1,06%"
"LVTC3","WDC Networks","43.400","3,45","-2,27%"
"PMAM3","Paranapanema","42.400","2,37","-1,25%"
"GGBR3","Gerdau","39.900","16,03","-2,67%"
"RNEW3","Renova Energia","39.500","0,90","-1,10%"
"EUCA4","Eucatex","37.700","15,80","-2,89%"
"VTRU3","VITRUBREPCOM","34.500","13,33","-4,10%"
"RPMG3","Refinaria de Manguinhos","33.600","3,15","-0,32%"
"CAMB3","Cambuci","32.700","11,25","+1,08%"
"PDTC3","Padtec","31.300","1,92","+3,78%"
"DEXP3","Dexxos","30.700","10,23","-1,63%"
"VIVR3","Viver","28.100","2,30","-4,17%"
"CTSA4","Santanense","27.700","1,01","-2,88%"
"AZEV11","Azevedo & Travassos","27.500","0,55","-6,78%"
"GOLL11","GOL","26.400","1,44","+0,00%"
"LOGN3","Log-In","25.900","39,60","-4,00%"
"HAGA3","Haga","24.400","2,68","-2,19%"
"ALUP4","Alupar","23.000","10,10","-2,32%"
"TPIS3","Triunfo","21.000","3,81","+0,26%"
"RDNI3","RNI","20.000","3,05","-2,56%"
"RAPT3","Randon","16.300","9,75","+0,62%"
"MNPR3","Minupar","14.800","13,49","+8,79%"
"SCAR3","São Carlos","14.100","22,33","-0,76%"
"TASA3","Taurus","12.800","12,12","-1,22%"
"CEBR6","CEB","11.900","18,90","+0,59%"
"SGPS3","Springs","11.200","2,28","-0,87%"
"NINJ3","GetNinjas","11.000","4,65","+1,09%"
"EKTR4","Elektro","10.300","42,30","+7,36%"
"EQPA3","Equatorial Energia Pará","10.100","7,18","-2,71%"
"RSID3","Rossi Residencial","10.000","4,37","-0,68%"
"BEES3","Banestes","9.500","9,10","+0,55%"
"DOTZ3","Dotz","8.900","6,58","+1,86%"
"UNIP3","Unipar","7.900","50,20","-1,67%"
"FHER3","Fertilizantes Heringer","7.300","3,97","-1,98%"
"NUTR3","Nutriplant","7.100","4,60","-3,56%"
"ALUP3","Alupar","6.900","10,93","+0,18%"
"EALT4","Electro Aço Altona","6.200","11,50","-1,63%"
"WHRL4","Whirlpool","5.800","4,52","-0,22%"
"ATMP3","Atma","5.700","1,97","-1,50%"
"CTNM4","Coteminas","5.500","0,97","-1,02%"
"ATOM3","ATOM","4.900","2,01","+0,00%"
"PTNT4","Pettenati","4.800","6,50","-2,99%"
"BRKM3","Braskem","4.700","18,49","-1,60%"
"BPAC3","Banco BTG Pactual","4.700","15,53","-0,38%"
"EPAR3","Embpar Participações","4.700","5,99","+1,01%"
"OFSA3","Ourofino Saúde Animal","4.400","19,35","-0,67%"
"COCE5","Coelce","4.300","30,43","-0,07%"
"ENGI4","Energisa","4.200","7,89","-1,87%"
"EMAE4","EMAE","4.100","46,12","-1,87%"
"BOBR4","Bombril","3.600","2,04","-0,97%"
"VSTE3","LE LIS BLANC","3.500","13,93","-0,36%"
"TELB4","Telebras","3.400","9,30","+0,65%"
"CEBR5","CEB","3.200","18,00","+1,12%"
"RSUL4","Metalúrgica Riosulense","3.100","63,50","-1,27%"
"OIBR4","Oi","3.000","12,90","+1,65%"
"CSRN3","COSERN","2.700","21,00","+1,60%"
"ALPA3","Alpargatas","2.700","8,67","-1,81%"
"DOHL4","Döhler","2.700","4,07","-2,86%"
"BRSR3","Banrisul","2.600","12,46","-0,08%"
"CRPG5","Tronox Pigmentos","2.500","29,50","-2,45%"
"TRPL3","Transmissão Paulista","2.300","31,93","-0,84%"
"CEBR3","CEB","2.300","20,38","+1,24%"
"ENGI3","Energisa","2.300","14,13","-3,62%"
"BPAC5","Banco BTG Pactual","2.200","8,20","-1,09%"
"HAGA4","Haga","2.100","1,18","+1,72%"
"SNSY3","Sansuy","2.000","12,34","-2,06%"
"CEDO4","Cedro Têxtil","1.900","23,00","+2,91%"
"TELB3","Telebras","1.800","13,50","+1,12%"
"CLSC4","Celesc","1.700","76,69","+0,54%"
"BMEB4","Banco Mercantil do Brasil","1.600","30,65","-1,38%"
"BEES4","Banestes","1.600","9,75","+0,52%"
"DEXP4","Dexxos","1.500","10,21","-0,39%"
"REDE3","Rede Energia","1.400","6,93","-0,57%"
"MNDL3","Mundial","1.300","15,59","+1,90%"
"CSRN6","COSERN","1.200","21,06","-14,81%"
"SNSY5","Sansuy","1.200","5,75","-2,87%"
"BAZA3","Banco da Amazônia","1.100","92,00","-1,06%"
"NEXP3","Brasil Brokers","1.100","4,15","-2,58%"
"MTSA4","Metisa","1.000","43,39","+0,35%"
"GEPA4","Rio Paranapanema Energia","1.000","25,90","+0,39%"
"EUCA3","Eucatex","1.000","16,25","-3,39%"
"MGEL4","Mangels","1.000","13,17","+0,53%"
